,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 69,TF Blade,1505,Defeat,24,124,7375,13,10
Match 70,TF Blade,1492,Victory,24,211,14218,16,18
Match 71,TF Blade,1533,Defeat,24,175,11398,14,20
Match 72,TF Blade,1446,Victory,82,160,10115,14,22
Match 73,TF Blade,934,Victory,24,110,8141,12,3
Match 74,TF Blade,1703,Victory,13,193,10940,15,34
Match 75,TF Blade,1418,Victory,24,145,10229,14,12
Match 76,TF Blade,963,Victory,23,118,8869,11,3
Match 77,TF Blade,1542,Victory,6,175,11410,15,29
Match 78,TF Blade,2161,Victory,24,263,17883,18,32
Match 79,TF Blade,2109,Defeat,24,224,15808,17,23
Match 80,TF Blade,1734,Defeat,24,193,12839,16,10
Match 81,TF Blade,967,Defeat,82,98,4956,10,10
Match 82,TF Blade,1497,Victory,24,182,13528,15,11
Match 83,TF Blade,1943,Victory,24,239,17009,18,29
Match 84,TF Blade,1259,Defeat,24,138,10009,13,24
Match 85,TF Blade,1837,Victory,24,211,14053,16,25
Match 86,TF Blade,1867,Defeat,24,215,11487,16,19
Match 87,TF Blade,972,Defeat,86,134,6872,11,10
Match 88,TF Blade,1974,Victory,24,232,15281,17,34
Match 89,TF Blade,1228,Victory,39,195,11479,14,23
Match 90,TF Blade,1320,Victory,24,162,11144,14,14
Match 91,TF Blade,1777,Victory,24,237,16893,18,24
Match 92,TF Blade,1386,Victory,24,158,13992,15,18
Match 93,TF Blade,914,Victory,24,102,6673,11,10
Match 94,TF Blade,1970,Defeat,58,232,13111,17,29
Match 95,TF Blade,1363,Victory,39,190,12177,14,10
Match 96,TF Blade,1935,Victory,24,186,11768,15,31
Match 97,TF Blade,1761,Victory,24,257,16693,17,24
Match 98,TF Blade,1783,Defeat,2,28,7908,12,28
Match 1,TF Blade,2038,Defeat,39,285,14869,17,21
Match 2,TF Blade,1167,Defeat,85,95,4956,10,9
Match 3,TF Blade,2229,Defeat,8,272,15518,17,32
Match 4,TF Blade,2207,Victory,85,268,15070,18,40
Match 5,TF Blade,1357,Defeat,24,152,7640,12,16
Match 6,TF Blade,1593,Defeat,8,222,8805,14,23
Match 7,TF Blade,1533,Defeat,39,155,6883,12,18
Match 8,TF Blade,1951,Victory,75,238,15187,18,32
Match 9,TF Blade,1509,Victory,24,197,11471,14,22
Match 10,TF Blade,1687,Victory,24,172,12398,15,10
Match 11,TF Blade,2043,Victory,24,210,14330,18,33
Match 12,TF Blade,1167,Victory,24,116,9743,12,14
Match 13,TF Blade,1335,Victory,24,187,9206,13,15
Match 14,TF Blade,1052,Victory,24,111,8260,11,14
Match 15,TF Blade,2202,Victory,24,251,15627,18,13
Match 16,TF Blade,1451,Victory,24,144,11128,14,26
Match 17,TF Blade,1734,Defeat,24,188,11988,15,15
Match 18,TF Blade,1702,Defeat,24,205,13802,15,21
Match 19,TF Blade,2583,Defeat,24,270,15743,18,30
Match 20,TF Blade,1624,Defeat,81,154,11625,14,12
Match 21,TF Blade,2440,Victory,24,338,22909,18,37
Match 22,TF Blade,1450,Victory,24,208,12724,15,22
Match 23,TF Blade,1417,Defeat,24,184,13517,13,16
Match 24,TF Blade,1492,Defeat,24,182,11054,14,17
Match 25,TF Blade,1621,Victory,67,176,13029,15,22
Match 26,TF Blade,1457,Defeat,24,152,10672,14,11
Match 27,TF Blade,1122,Defeat,39,147,7356,11,9
Match 28,TF Blade,2017,Victory,24,239,14363,17,23
Match 29,TF Blade,1857,Victory,24,229,14833,18,18
Match 30,TF Blade,1987,Defeat,39,237,11540,16,35
Match 31,TF Blade,1343,Victory,75,182,9984,14,16
Match 32,TF Blade,1217,Victory,24,164,10820,14,6
Match 33,TF Blade,1839,Defeat,39,243,12158,15,16
Match 34,TF Blade,1270,Victory,24,109,6882,12,11
Match 35,TF Blade,1437,Victory,39,169,10656,14,26
Match 36,TF Blade,1212,Victory,24,161,9196,14,14
Match 37,TF Blade,1211,Defeat,39,128,7715,11,12
Match 38,TF Blade,192,Defeat,39,19,1050,3,0
Match 39,TF Blade,1676,Defeat,236,185,13639,16,34
Match 40,TF Blade,1746,Victory,58,233,12817,16,19
Match 41,TF Blade,1419,Defeat,39,174,9332,13,19
Match 42,TF Blade,1583,Defeat,121,22,8596,13,22
Match 43,TF Blade,1860,Defeat,245,45,10682,15,26
Match 44,TF Blade,1659,Defeat,121,20,10763,14,25
Match 45,TF Blade,1453,Defeat,8,178,8878,13,20
Match 46,TF Blade,1636,Defeat,150,186,10031,15,29
Match 47,TF Blade,1462,Defeat,58,190,8386,13,23
Match 48,TF Blade,2048,Defeat,85,246,16172,17,24
Match 49,TF Blade,1148,Defeat,86,144,7023,12,10
Match 50,TF Blade,2268,Victory,24,313,22004,18,40
Match 51,TF Blade,1373,Victory,75,171,9178,14,19
Match 52,TF Blade,1686,Victory,24,140,10276,15,16
Match 53,TF Blade,1440,Victory,23,149,11480,14,15
Match 54,TF Blade,1857,Defeat,24,199,12241,15,25
Match 55,TF Blade,1405,Defeat,24,132,7299,12,9
Match 56,TF Blade,1774,Defeat,79,151,11280,15,17
Match 57,TF Blade,1750,Victory,58,209,13153,16,31
Match 58,TF Blade,2573,Victory,39,286,18944,18,76
Match 59,TF Blade,1126,Victory,24,159,8999,13,11
Match 60,TF Blade,2049,Defeat,24,232,12841,16,31
Match 61,TF Blade,1141,Defeat,150,135,6198,11,7
Match 62,TF Blade,2097,Defeat,58,264,15715,18,38
Match 63,TF Blade,2184,Victory,39,261,17087,17,44
Match 64,TF Blade,972,Defeat,150,91,5035,9,9
Match 65,TF Blade,2058,Victory,39,283,17187,18,39
Match 66,TF Blade,1389,Defeat,39,196,13161,15,20
Match 67,TF Blade,919,Victory,39,152,6954,11,9
Match 68,TF Blade,1927,Victory,23,273,16274,18,43
Match 69,TF Blade,1928,Victory,24,206,14089,17,21
Match 70,TF Blade,2377,Defeat,150,292,18256,18,34
Match 71,TF Blade,2212,Defeat,24,226,13726,17,34
Match 72,TF Blade,1198,Victory,58,164,9088,13,12
Match 73,TF Blade,1603,Defeat,24,161,9619,14,12
Match 74,TF Blade,1783,Defeat,8,201,10363,16,16
Match 75,TF Blade,1238,Victory,24,177,10672,13,8
Match 76,TF Blade,1805,Defeat,24,241,11784,16,20
Match 77,TF Blade,2255,Defeat,24,240,15193,17,30
Match 78,TF Blade,1662,Defeat,85,176,7971,14,15
Match 79,TF Blade,1385,Victory,24,157,10804,13,17
Match 80,TF Blade,1676,Victory,85,188,10609,15,11
Match 81,TF Blade,1224,Victory,24,168,8550,13,19
Match 82,TF Blade,2050,Victory,24,272,16594,18,27
Match 83,TF Blade,1958,Defeat,24,266,15103,17,27
Match 84,TF Blade,2073,Defeat,67,233,11951,16,25
Match 85,TF Blade,1337,Defeat,85,166,7314,12,20
Match 86,TF Blade,1616,Defeat,24,151,9282,13,17
Match 87,TF Blade,1648,Victory,39,232,15865,15,15
Match 88,TF Blade,1910,Defeat,150,236,12439,16,25
Match 89,TF Blade,1392,Victory,85,186,8464,14,19
Match 90,TF Blade,1408,Victory,2,36,11361,14,27
Match 91,TF Blade,1956,Victory,85,255,12374,17,28
Match 92,TF Blade,1453,Defeat,150,170,8579,12,11
Match 93,TF Blade,1685,Victory,85,201,12751,15,34
Match 94,TF Blade,1633,Defeat,24,164,8775,14,20
Match 95,TF Blade,1210,Defeat,24,153,6720,12,10
Match 96,TF Blade,2439,Defeat,58,257,17703,18,37
Match 97,TF Blade,1799,Victory,58,196,11686,16,22
Match 98,TF Blade,1992,Defeat,121,52,12434,16,48
Match 1,TF Blade,1883,Victory,24,245,12625,17,31
Match 2,TF Blade,1133,Victory,24,165,11752,13,14
Match 3,TF Blade,1784,Victory,150,203,12187,16,27
Match 4,TF Blade,1398,Victory,75,192,8765,14,15
Match 5,TF Blade,2116,Victory,24,296,16833,18,30
Match 6,TF Blade,2221,Victory,24,237,14629,18,42
Match 7,TF Blade,1567,Defeat,24,204,10154,14,11
Match 8,TF Blade,2154,Victory,24,249,15066,18,44
Match 9,TF Blade,697,Victory,24,82,4269,9,7
Match 10,TF Blade,1522,Victory,39,205,11231,15,27
Match 11,TF Blade,1142,Victory,24,143,10389,13,9
Match 12,TF Blade,1881,Defeat,8,237,13987,17,24
Match 13,TF Blade,2158,Defeat,24,243,17291,18,45
Match 14,TF Blade,1832,Defeat,24,201,12206,15,18
Match 15,TF Blade,1538,Defeat,39,189,11198,14,18
Match 16,TF Blade,1534,Victory,58,213,11911,15,17
Match 17,TF Blade,1262,Defeat,24,153,9008,13,14
Match 18,TF Blade,1505,Victory,39,215,12960,15,31
