,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 30,Ender Dragon 3,928,Defeat,157,109,4635,10,4
Match 31,Ender Dragon 3,1696,Defeat,98,159,9031,14,10
Match 32,Ender Dragon 3,2167,Victory,157,244,20172,18,18
Match 33,Ender Dragon 3,1760,Defeat,238,175,15180,16,20
Match 34,Ender Dragon 3,1368,Victory,103,148,7257,13,10
Match 35,Ender Dragon 3,1422,Victory,92,137,9684,13,13
Match 36,Ender Dragon 3,2474,Defeat,238,191,15494,18,19
Match 37,Ender Dragon 3,1236,Victory,157,172,10330,13,10
Match 38,Ender Dragon 3,2098,Defeat,238,211,15351,17,24
Match 39,Ender Dragon 3,1496,Defeat,238,122,8822,13,11
Match 40,Ender Dragon 3,1807,Victory,122,166,16593,17,19
Match 41,Ender Dragon 3,2392,Victory,126,195,15674,18,14
Match 42,Ender Dragon 3,1876,Victory,92,217,16544,18,21
Match 43,Ender Dragon 3,1861,Defeat,64,49,12312,14,15
Match 44,Ender Dragon 3,1600,Victory,157,167,12081,15,20
Match 45,Ender Dragon 3,2154,Victory,103,165,10716,16,20
Match 46,Ender Dragon 3,1519,Victory,157,139,9812,13,12
Match 47,Ender Dragon 3,1961,Defeat,157,181,11925,15,20
Match 48,Ender Dragon 3,983,Defeat,157,92,5138,10,6
Match 49,Ender Dragon 3,681,Victory,157,83,4856,9,3
Match 50,Ender Dragon 3,1979,Defeat,157,227,13712,15,18
Match 51,Ender Dragon 3,1736,Victory,157,200,12233,16,15
Match 52,Ender Dragon 3,1305,Defeat,157,131,6769,12,5
Match 53,Ender Dragon 3,1979,Victory,157,197,16018,16,15
Match 54,Ender Dragon 3,1913,Victory,89,45,8144,14,43
Match 55,Ender Dragon 3,1568,Victory,157,169,13877,14,12
Match 56,Ender Dragon 3,1857,Defeat,157,187,14208,15,17
Match 57,Ender Dragon 3,1358,Defeat,126,136,8627,13,9
Match 58,Ender Dragon 3,951,Defeat,126,98,4296,10,2
Match 59,Ender Dragon 3,1286,Defeat,126,145,7615,12,9
Match 60,Ender Dragon 3,1420,Defeat,126,162,7326,12,8
Match 61,Ender Dragon 3,1335,Victory,266,107,8329,13,14
Match 62,Ender Dragon 3,1696,Defeat,157,179,9343,14,7
Match 63,Ender Dragon 3,1494,Defeat,92,162,8575,13,12
Match 64,Ender Dragon 3,1356,Victory,266,178,14018,14,12
Match 65,Ender Dragon 3,1413,Defeat,157,159,9108,13,7
Match 66,Ender Dragon 3,1673,Victory,157,189,11433,16,18
Match 67,Ender Dragon 3,1540,Defeat,103,182,8772,14,13
Match 68,Ender Dragon 3,2678,Victory,103,196,18128,18,29
Match 69,Ender Dragon 3,2014,Defeat,157,204,13363,15,11
Match 70,Ender Dragon 3,2312,Defeat,266,167,11377,16,17
Match 71,Ender Dragon 3,1495,Victory,266,149,10319,15,13
Match 72,Ender Dragon 3,2037,Defeat,157,196,14742,16,15
Match 73,Ender Dragon 3,1769,Victory,157,215,15654,16,18
Match 74,Ender Dragon 3,1108,Victory,111,42,5594,10,20
Match 75,Ender Dragon 3,1680,Defeat,86,167,8825,14,10
Match 76,Ender Dragon 3,1454,Defeat,54,126,6358,12,12
Match 77,Ender Dragon 3,2187,Defeat,266,173,16462,17,17
Match 78,Ender Dragon 3,1557,Victory,157,180,10702,14,11
Match 79,Ender Dragon 3,1615,Defeat,157,188,10616,14,12
Match 80,Ender Dragon 3,1379,Victory,157,181,10870,14,9
Match 81,Ender Dragon 3,1690,Victory,157,152,11891,15,18
Match 82,Ender Dragon 3,1507,Victory,157,175,11327,14,22
Match 83,Ender Dragon 3,1808,Victory,157,226,16181,17,20
Match 84,Ender Dragon 3,1545,Victory,157,200,12786,15,8
Match 85,Ender Dragon 3,2037,Victory,266,147,13229,17,12
Match 86,Ender Dragon 3,1252,Victory,157,182,12202,14,9
Match 87,Ender Dragon 3,1981,Defeat,157,224,13500,16,16
Match 1,Ender Dragon 3,1333,Defeat,266,155,6782,13,8
Match 2,Ender Dragon 3,1971,Victory,157,215,17660,16,15
Match 3,Ender Dragon 3,1447,Victory,157,207,12000,15,11
Match 4,Ender Dragon 3,2449,Defeat,157,294,16984,17,24
Match 5,Ender Dragon 3,1859,Defeat,157,182,11368,15,18
Match 6,Ender Dragon 3,1983,Victory,157,230,17493,18,18
Match 7,Ender Dragon 3,1701,Defeat,67,179,9390,13,15
Match 8,Ender Dragon 3,1805,Victory,157,227,19489,17,14
Match 9,Ender Dragon 3,2153,Defeat,266,186,14007,16,15
Match 10,Ender Dragon 3,1071,Victory,157,124,9095,12,7
Match 11,Ender Dragon 3,1625,Defeat,103,154,8214,13,15
Match 12,Ender Dragon 3,1268,Victory,266,141,8156,13,10
Match 13,Ender Dragon 3,2077,Victory,98,219,14727,18,17
Match 14,Ender Dragon 3,2254,Victory,58,195,14797,18,22
Match 15,Ender Dragon 3,1807,Defeat,157,149,10474,14,14
