,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 3,Adrian Riven,999,Defeat,64,78,3981,9,3
Match 4,Adrian Riven,1861,Victory,64,163,13072,16,16
Match 5,Adrian Riven,1547,Defeat,54,118,6641,13,17
Match 6,Adrian Riven,1021,Defeat,92,115,6129,11,10
Match 7,Adrian Riven,1664,Defeat,92,141,9248,14,19
Match 8,Adrian Riven,2043,Defeat,92,213,16868,16,21
Match 9,Adrian Riven,1595,Victory,92,171,9981,15,25
Match 10,Adrian Riven,1572,Defeat,92,172,8302,13,24
Match 11,Adrian Riven,1855,Victory,92,244,16319,18,15
Match 12,Adrian Riven,1420,Victory,92,105,7010,13,19
Match 13,Adrian Riven,981,Defeat,92,106,4611,10,8
Match 14,Adrian Riven,1292,Victory,114,158,9612,14,17
Match 15,Adrian Riven,1291,Victory,92,140,7546,12,17
Match 16,Adrian Riven,742,Defeat,114,54,2927,7,4
Match 17,Adrian Riven,2070,Victory,92,268,16787,18,41
Match 18,Adrian Riven,2066,Victory,41,217,13965,17,27
Match 19,Adrian Riven,1558,Defeat,164,152,8275,14,16
Match 20,Adrian Riven,1705,Victory,518,157,8941,15,12
Match 21,Adrian Riven,1451,Victory,92,168,11124,15,22
Match 22,Adrian Riven,915,Victory,92,114,5376,11,11
Match 23,Adrian Riven,1790,Defeat,92,190,11919,16,31
Match 24,Adrian Riven,1570,Victory,114,126,12690,13,11
Match 25,Adrian Riven,1535,Victory,62,128,9377,13,16
Match 26,Adrian Riven,1598,Victory,92,150,9627,15,16
Match 27,Adrian Riven,965,Victory,58,127,7358,12,8
Match 28,Adrian Riven,1156,Defeat,164,108,6855,11,1
Match 29,Adrian Riven,1810,Victory,64,131,10359,15,20
Match 30,Adrian Riven,2092,Victory,92,187,16886,18,20
Match 31,Adrian Riven,1816,Victory,15,179,13584,15,15
Match 32,Adrian Riven,1965,Defeat,18,206,14376,16,23
Match 33,Adrian Riven,1470,Victory,92,185,10629,15,16
Match 34,Adrian Riven,1042,Victory,92,129,7531,11,12
Match 35,Adrian Riven,1593,Defeat,92,197,9067,15,10
Match 36,Adrian Riven,1262,Defeat,64,116,5866,11,8
Match 37,Adrian Riven,1318,Defeat,92,171,9106,13,15
Match 38,Adrian Riven,820,Defeat,64,64,4073,8,7
Match 39,Adrian Riven,1313,Victory,64,93,9783,12,12
Match 40,Adrian Riven,921,Victory,64,102,8146,11,5
Match 41,Adrian Riven,1844,Victory,64,186,13673,16,13
Match 42,Adrian Riven,978,Defeat,92,99,5303,10,6
Match 43,Adrian Riven,571,Defeat,92,13,1711,5,0
Match 44,Adrian Riven,1539,Victory,64,107,9408,13,8
Match 45,Adrian Riven,1957,Defeat,92,172,13349,15,33
Match 46,Adrian Riven,1556,Victory,92,135,11456,14,24
Match 47,Adrian Riven,1952,Victory,64,161,15388,17,20
Match 48,Adrian Riven,968,Defeat,2,95,5045,10,6
Match 49,Adrian Riven,1445,Defeat,114,134,7726,12,12
Match 50,Adrian Riven,2399,Defeat,92,183,12387,16,30
Match 51,Adrian Riven,1681,Defeat,92,185,10619,14,8
Match 52,Adrian Riven,2293,Victory,92,236,18333,18,18
Match 53,Adrian Riven,1861,Defeat,92,183,12411,15,16
Match 54,Adrian Riven,1635,Defeat,114,183,8746,14,21
Match 55,Adrian Riven,1671,Defeat,114,175,10765,14,13
Match 56,Adrian Riven,1320,Victory,114,147,9229,14,13
Match 57,Adrian Riven,1120,Victory,92,166,7571,12,12
Match 58,Adrian Riven,1778,Victory,114,140,10903,15,29
Match 59,Adrian Riven,1818,Defeat,92,185,10325,14,21
Match 60,Adrian Riven,1794,Victory,92,237,14819,16,18
Match 61,Adrian Riven,2081,Victory,114,167,15010,17,17
Match 62,Adrian Riven,1246,Victory,92,124,7796,13,11
Match 63,Adrian Riven,1483,Victory,92,191,13226,14,9
Match 64,Adrian Riven,2135,Victory,164,222,14741,17,30
Match 65,Adrian Riven,2257,Victory,92,163,12487,17,24
Match 66,Adrian Riven,1716,Victory,92,166,13182,15,30
