,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 1,Belox,2013,Defeat,234,49,18570,14,9
Match 2,Belox,1567,Defeat,69,15,8795,11,6
Match 3,Belox,1642,Defeat,150,48,8315,13,15
Match 4,Belox,1863,Defeat,875,58,18895,15,8
Match 5,Belox,911,Victory,875,12,7564,9,3
Match 6,Belox,2046,Victory,516,167,11419,16,10
Match 7,Belox,2137,Victory,875,72,16597,17,20
Match 8,Belox,1866,Victory,24,168,15084,17,11
Match 9,Belox,2382,Victory,141,205,17088,18,9
Match 10,Belox,1203,Defeat,875,81,5659,10,6
Match 11,Belox,1958,Victory,50,41,12118,15,23
Match 12,Belox,1320,Defeat,875,122,7133,12,10
Match 13,Belox,2677,Victory,887,283,27873,18,19
Match 14,Belox,1894,Victory,875,136,21790,17,17
Match 15,Belox,1909,Defeat,887,160,12537,15,10
Match 16,Belox,1838,Defeat,887,66,7242,13,5
Match 17,Belox,991,Victory,875,123,10844,12,7
Match 18,Belox,1203,Defeat,875,93,7235,13,6
Match 19,Belox,1792,Victory,887,193,13571,17,13
Match 20,Belox,1537,Defeat,887,103,10322,13,4
Match 21,Belox,1982,Victory,887,77,16992,18,24
Match 22,Belox,1640,Defeat,50,163,12553,16,4
Match 23,Belox,1332,Victory,54,154,8969,13,6
Match 24,Belox,2009,Victory,33,41,12097,16,10
Match 25,Belox,2301,Defeat,14,255,19113,18,29
Match 26,Belox,1144,Victory,83,151,8802,12,8
Match 27,Belox,1255,Victory,360,154,13045,14,0
Match 28,Belox,2575,Victory,82,245,20098,18,17
Match 29,Belox,1287,Defeat,83,111,6888,11,11
Match 30,Belox,2167,Victory,427,15,9931,16,18
Match 31,Belox,1528,Victory,14,184,14601,16,7
Match 32,Belox,2476,Defeat,50,80,17391,18,22
Match 33,Belox,2127,Defeat,223,175,11445,15,15
Match 34,Belox,1659,Victory,122,145,11108,15,7
Match 1,Belox,1882,Victory,14,191,13422,17,15
Match 2,Belox,1330,Victory,31,116,8215,13,6
Match 3,Belox,812,Defeat,14,106,4922,11,3
Match 4,Belox,942,Defeat,50,3,4054,8,8
Match 5,Belox,1328,Victory,360,170,9962,12,3
Match 6,Belox,1293,Victory,14,161,8966,14,8
Match 7,Belox,2164,Defeat,14,255,14254,18,20
Match 8,Belox,1080,Victory,50,28,9120,11,8
Match 9,Belox,1469,Victory,19,6,8317,12,13
Match 1,Belox,980,Victory,50,20,8034,9,8
Match 2,Belox,1362,Victory,20,9,8564,12,6
Match 3,Belox,1501,Defeat,526,39,7977,11,8
Match 4,Belox,1075,Defeat,360,106,5893,9,0
Match 5,Belox,2546,Defeat,14,204,13638,18,9
Match 6,Belox,1746,Defeat,777,145,14862,15,4
Match 7,Belox,1298,Defeat,420,146,8961,14,4
Match 8,Belox,1614,Victory,360,171,18580,15,8
Match 9,Belox,1243,Victory,235,100,6580,11,2
Match 10,Belox,2075,Defeat,412,100,10857,15,9
Match 11,Belox,1598,Defeat,14,53,9168,13,14
Match 12,Belox,930,Defeat,50,4,4857,8,6
Match 13,Belox,1598,Victory,360,183,17998,16,7
Match 14,Belox,1740,Victory,75,221,16354,18,9
Match 15,Belox,915,Defeat,516,111,5218,11,6
Match 16,Belox,1610,Defeat,48,189,11078,15,10
Match 17,Belox,1919,Victory,14,222,15982,18,6
Match 18,Belox,2127,Victory,50,66,13920,17,24
Match 19,Belox,1258,Victory,235,17,11867,13,15
Match 20,Belox,1871,Victory,360,175,13498,14,14
Match 21,Belox,2078,Victory,121,21,15524,16,27
Match 22,Belox,1869,Defeat,234,147,12055,15,13
Match 23,Belox,1857,Victory,102,215,15591,18,4
Match 24,Belox,1474,Victory,107,15,10330,14,19
Match 25,Belox,1589,Defeat,223,28,9589,13,12
Match 26,Belox,1829,Defeat,234,122,10559,12,7
Match 27,Belox,1913,Defeat,526,60,9725,14,36
Match 28,Belox,1781,Victory,360,145,14146,14,7
Match 29,Belox,1378,Victory,234,19,12067,13,10
Match 30,Belox,1269,Victory,234,156,10464,14,6
Match 31,Belox,1808,Defeat,234,23,12241,13,11
Match 32,Belox,1033,Victory,234,14,9359,12,11
Match 33,Belox,1181,Defeat,234,4,6956,10,11
Match 34,Belox,2426,Victory,14,172,15728,18,28
Match 35,Belox,1622,Victory,10,211,13033,16,16
Match 36,Belox,2110,Victory,14,184,13437,17,11
Match 37,Belox,1230,Victory,234,2,9416,12,12
Match 38,Belox,1090,Victory,14,124,7903,14,1
Match 39,Belox,2205,Victory,14,320,20260,18,4
Match 40,Belox,1242,Victory,777,117,10775,13,9
Match 41,Belox,3033,Defeat,14,301,21843,18,17
Match 42,Belox,1218,Victory,360,146,9375,11,2
Match 43,Belox,1739,Victory,223,47,10026,13,18
Match 44,Belox,1217,Victory,67,162,9051,13,7
Match 45,Belox,1529,Defeat,360,147,11864,14,5
Match 46,Belox,1355,Victory,360,154,13477,13,8
Match 47,Belox,1342,Victory,19,11,9726,14,13
Match 48,Belox,1007,Defeat,360,88,4965,10,1
Match 49,Belox,1742,Victory,360,143,11804,14,11
Match 50,Belox,1855,Victory,360,157,18734,17,11
Match 51,Belox,1854,Defeat,19,154,11460,16,9
Match 52,Belox,1197,Defeat,360,68,7172,9,3
Match 53,Belox,2074,Defeat,35,15,10746,15,16
Match 54,Belox,1446,Victory,516,200,11312,15,13
Match 55,Belox,216,Victory,35,0,1093,3,0
Match 56,Belox,1228,Victory,360,120,6928,12,4
Match 57,Belox,937,Defeat,32,2,5237,8,7
Match 58,Belox,1891,Defeat,516,162,13955,16,8
Match 1,Belox,2255,Victory,75,249,14778,18,16
Match 2,Belox,2554,Victory,92,232,21680,18,12
Match 3,Belox,1117,Victory,360,121,14705,13,6
Match 4,Belox,2456,Victory,104,147,21832,18,23
Match 5,Belox,2142,Victory,360,257,18840,18,19
Match 6,Belox,1503,Victory,83,193,10949,16,9
Match 7,Belox,1983,Defeat,240,142,12665,15,13
Match 8,Belox,950,Victory,360,108,12119,11,10
Match 9,Belox,1937,Victory,429,62,13232,15,18
Match 10,Belox,2078,Victory,360,233,23410,18,12
Match 11,Belox,1899,Victory,164,84,17676,16,16
Match 12,Belox,1848,Defeat,58,177,13771,16,9
Match 13,Belox,1012,Victory,360,138,8510,13,4
Match 14,Belox,1955,Defeat,14,239,16827,18,12
Match 15,Belox,1974,Defeat,6,182,13293,16,14
Match 16,Belox,1308,Defeat,19,122,7779,12,8
Match 17,Belox,1560,Defeat,63,27,6058,11,2
Match 18,Belox,955,Defeat,63,26,5710,9,10
Match 19,Belox,1348,Victory,27,181,11444,14,4
Match 20,Belox,1809,Victory,67,35,15478,16,14
Match 21,Belox,1779,Victory,29,49,14750,16,10
Match 22,Belox,1379,Victory,14,200,14211,16,3
Match 23,Belox,1277,Victory,14,165,13491,15,7
Match 24,Belox,946,Victory,360,132,9597,10,3
Match 25,Belox,1463,Victory,145,150,9209,12,11
Match 26,Belox,2636,Victory,360,232,20072,18,17
Match 27,Belox,1854,Defeat,6,195,17783,17,10
