,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 135,cyrs7,1946,Victory,26,37,10650,15,65
Match 136,cyrs7,1750,Defeat,117,9,7514,12,57
Match 137,cyrs7,2024,Victory,143,30,9726,14,92
Match 138,cyrs7,1652,Victory,143,31,8509,12,50
Match 139,cyrs7,2198,Victory,143,33,9530,14,92
Match 140,cyrs7,1994,Victory,26,33,8477,15,71
Match 141,cyrs7,2072,Defeat,143,41,10603,13,90
Match 142,cyrs7,1028,Defeat,143,11,4897,8,21
Match 143,cyrs7,1009,Defeat,32,10,4170,8,15
Match 144,cyrs7,1259,Victory,45,39,7839,11,31
Match 145,cyrs7,2706,Defeat,45,133,12325,15,22
Match 146,cyrs7,1279,Defeat,45,94,7018,11,18
Match 147,cyrs7,2077,Defeat,40,9,7660,14,61
Match 148,cyrs7,1755,Defeat,267,8,7318,12,64
Match 149,cyrs7,1574,Defeat,32,16,7094,12,25
Match 150,cyrs7,2527,Victory,45,158,15479,16,35
Match 151,cyrs7,1375,Victory,45,111,9503,13,28
Match 152,cyrs7,1167,Victory,32,15,5803,10,16
Match 153,cyrs7,2117,Defeat,25,23,9514,13,64
Match 154,cyrs7,1652,Defeat,43,19,5654,10,45
Match 155,cyrs7,1981,Defeat,25,49,10287,15,28
Match 156,cyrs7,1661,Defeat,99,111,8827,13,25
Match 157,cyrs7,1905,Defeat,26,12,6544,12,57
Match 158,cyrs7,1680,Defeat,142,96,6146,13,14
Match 159,cyrs7,2099,Victory,21,178,11714,15,26
Match 160,cyrs7,2015,Defeat,518,129,11804,16,19
Match 161,cyrs7,2123,Defeat,143,54,11043,14,73
Match 162,cyrs7,1214,Victory,26,33,5814,10,31
Match 163,cyrs7,2091,Defeat,45,187,11254,16,28
Match 164,cyrs7,2196,Victory,45,154,14163,17,43
Match 165,cyrs7,1316,Victory,117,6,7849,12,42
Match 166,cyrs7,1803,Victory,236,152,9101,14,24
Match 167,cyrs7,2180,Defeat,45,155,12296,17,29
Match 168,cyrs7,2276,Victory,45,176,18256,18,29
Match 169,cyrs7,1652,Defeat,40,8,6150,11,49
Match 170,cyrs7,1810,Defeat,267,13,6272,12,33
Match 171,cyrs7,1231,Defeat,89,32,4510,9,28
Match 172,cyrs7,1638,Victory,117,23,8341,11,54
Match 173,cyrs7,1888,Victory,40,16,8768,13,68
Match 174,cyrs7,1988,Defeat,25,54,8904,13,74
Match 175,cyrs7,2047,Defeat,117,133,9629,14,35
Match 176,cyrs7,1434,Defeat,117,14,5631,11,39
Match 177,cyrs7,2472,Victory,117,170,16388,18,35
Match 178,cyrs7,1570,Victory,45,152,8900,14,19
Match 179,cyrs7,1343,Victory,25,38,9617,12,39
Match 180,cyrs7,951,Defeat,90,53,3648,8,15
Match 181,cyrs7,1460,Victory,99,95,7277,13,19
Match 182,cyrs7,2533,Defeat,99,229,13695,18,25
Match 183,cyrs7,969,Victory,117,5,4924,8,14
Match 184,cyrs7,972,Victory,117,8,4236,8,23
Match 185,cyrs7,1390,Victory,31,98,6543,13,20
Match 186,cyrs7,1012,Victory,99,99,5353,11,13
Match 187,cyrs7,2076,Defeat,25,48,11256,15,76
Match 188,cyrs7,1498,Victory,117,13,7079,12,47
Match 189,cyrs7,1828,Defeat,267,23,7114,12,66
Match 190,cyrs7,2152,Defeat,267,13,10220,14,79
Match 191,cyrs7,2996,Victory,117,23,13840,18,115
Match 192,cyrs7,618,Victory,25,16,4285,6,11
Match 193,cyrs7,2198,Victory,22,40,11895,15,83
Match 194,cyrs7,1225,Victory,117,3,6291,10,34
Match 195,cyrs7,2579,Victory,26,45,14479,17,83
Match 196,cyrs7,1785,Victory,555,42,7765,12,68
Match 197,cyrs7,1779,Defeat,89,36,7297,11,57
Match 198,cyrs7,2370,Defeat,99,155,13409,18,43
Match 199,cyrs7,1527,Defeat,117,8,5718,11,32
Match 200,cyrs7,620,Defeat,89,11,2641,6,7
Match 201,cyrs7,2109,Victory,267,21,9787,16,82
Match 202,cyrs7,2486,Victory,267,14,9855,16,72
Match 203,cyrs7,1380,Victory,32,12,5701,10,23
Match 204,cyrs7,1728,Victory,876,20,8322,13,26
Match 205,cyrs7,1054,Victory,36,5,5888,10,20
Match 206,cyrs7,1498,Victory,26,15,8741,13,34
Match 207,cyrs7,3066,Victory,267,23,11962,18,97
Match 208,cyrs7,1911,Defeat,117,10,6667,12,52
Match 209,cyrs7,2008,Victory,117,14,8423,15,51
Match 210,cyrs7,1551,Defeat,89,32,6664,10,58
Match 211,cyrs7,1636,Defeat,117,22,6752,12,59
Match 212,cyrs7,2646,Defeat,25,46,12542,17,96
Match 213,cyrs7,917,Victory,267,4,4373,7,28
Match 214,cyrs7,1128,Victory,236,96,7628,11,16
Match 215,cyrs7,2167,Victory,25,24,10957,16,91
Match 216,cyrs7,1760,Defeat,25,26,8902,12,68
