,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 116,Belox,2078,Victory,360,233,23410,18,12
Match 117,Belox,1899,Victory,164,84,17676,16,16
Match 118,Belox,1848,Defeat,58,177,13771,16,9
Match 119,Belox,1012,Victory,360,138,8510,13,4
Match 120,Belox,1955,Defeat,14,239,16827,18,12
Match 121,Belox,1974,Defeat,6,182,13293,16,14
Match 122,Belox,1308,Defeat,19,122,7779,12,8
Match 123,Belox,1560,Defeat,63,27,6058,11,2
Match 124,Belox,955,Defeat,63,26,5710,9,10
Match 125,Belox,1348,Victory,27,181,11444,14,4
Match 126,Belox,1809,Victory,67,35,15478,16,14
Match 127,Belox,1779,Victory,29,49,14750,16,10
Match 128,Belox,1379,Victory,14,200,14211,16,3
Match 129,Belox,1277,Victory,14,165,13491,15,7
Match 130,Belox,946,Victory,360,132,9597,10,3
Match 131,Belox,1463,Victory,145,150,9209,12,11
Match 132,Belox,2636,Victory,360,232,20072,18,17
Match 133,Belox,1854,Defeat,6,195,17783,17,10
Match 134,Belox,1415,Defeat,6,164,11046,14,11
Match 135,Belox,1015,Defeat,19,12,8110,11,11
Match 136,Belox,1362,Victory,80,141,9871,13,7
Match 137,Belox,1617,Defeat,18,125,12313,13,12
Match 138,Belox,2197,Victory,11,105,15647,18,24
Match 139,Belox,1401,Defeat,31,144,12604,14,12
Match 140,Belox,2111,Defeat,421,40,14808,17,10
Match 141,Belox,1494,Defeat,81,181,7885,11,6
Match 142,Belox,2123,Defeat,777,188,14700,17,21
Match 143,Belox,2068,Defeat,39,267,17740,18,12
Match 144,Belox,1621,Defeat,777,163,10954,15,17
Match 145,Belox,915,Defeat,39,90,5445,10,4
Match 146,Belox,1137,Victory,29,102,6763,11,4
Match 147,Belox,1748,Victory,91,140,15342,15,14
Match 148,Belox,1592,Victory,22,27,11956,15,26
Match 149,Belox,1157,Defeat,31,100,6279,12,13
Match 150,Belox,1540,Victory,58,12,10573,13,13
Match 151,Belox,1776,Defeat,14,61,8437,13,21
Match 152,Belox,1827,Victory,92,51,11534,15,17
Match 153,Belox,2111,Victory,360,153,15508,16,9
Match 154,Belox,2056,Defeat,110,215,15986,17,14
Match 155,Belox,1772,Defeat,202,151,9802,13,9
Match 156,Belox,2456,Defeat,120,43,12795,16,21
Match 157,Belox,2394,Victory,777,224,19048,18,14
Match 158,Belox,1110,Defeat,8,100,5751,11,3
Match 159,Belox,1686,Defeat,120,188,11218,15,7
Match 160,Belox,1884,Defeat,429,215,15361,16,13
Match 161,Belox,1466,Defeat,266,177,9667,14,12
Match 162,Belox,1318,Victory,55,154,10432,14,11
Match 163,Belox,1916,Victory,777,194,19742,18,13
Match 164,Belox,928,Victory,202,118,8511,10,4
Match 165,Belox,1228,Defeat,777,83,6019,10,4
Match 166,Belox,1317,Defeat,92,103,7822,12,5
Match 167,Belox,2211,Defeat,31,146,15280,16,7
Match 168,Belox,1264,Victory,555,23,11199,11,9
Match 169,Belox,1139,Victory,31,109,8813,13,1
Match 170,Belox,1781,Victory,31,153,17492,16,7
Match 171,Belox,1718,Defeat,777,99,9953,13,5
Match 172,Belox,1235,Victory,777,161,13004,15,9
Match 173,Belox,1922,Victory,777,201,17217,17,4
Match 174,Belox,2346,Defeat,121,55,18450,18,25
Match 175,Belox,1721,Victory,31,152,14670,16,4
Match 176,Belox,2081,Victory,56,39,16474,17,17
Match 177,Belox,1466,Victory,777,192,13597,16,7
Match 178,Belox,2004,Defeat,62,150,9060,15,12
Match 179,Belox,1978,Victory,92,158,12971,17,14
Match 180,Belox,1364,Defeat,86,128,7764,12,10
Match 181,Belox,965,Victory,92,96,4665,10,8
Match 182,Belox,1143,Victory,777,157,10610,14,10
Match 183,Belox,1583,Defeat,164,105,7751,12,10
Match 184,Belox,2041,Victory,56,67,15794,18,25
Match 185,Belox,1903,Defeat,202,159,14551,16,6
Match 186,Belox,629,Victory,31,76,5010,9,1
Match 187,Belox,1831,Defeat,23,57,11255,14,9
Match 188,Belox,1451,Defeat,157,129,7786,12,4
Match 189,Belox,1605,Defeat,14,81,9841,13,9
Match 190,Belox,2026,Victory,202,124,16590,17,9
Match 191,Belox,2601,Victory,526,49,13182,17,33
Match 192,Belox,951,Victory,56,13,7911,11,9
Match 193,Belox,1568,Defeat,523,164,14272,13,9
Match 194,Belox,1101,Victory,777,111,9132,12,4
Match 195,Belox,1297,Victory,14,138,9631,14,7
Match 196,Belox,1955,Defeat,92,176,12471,16,8
Match 197,Belox,2316,Victory,141,58,13806,17,21
Match 198,Belox,2207,Defeat,235,30,12083,14,38
